Drug 1,Drug 2,Interaction Description
Amrinone,Magnesium hydroxide,The risk or severity of adverse effects can be increased when Amrinone is combined with Magnesium hydroxide.
Benzphetamine,Sodium bicarbonate,Benzphetamine may decrease the excretion rate of Sodium bicarbonate which could result in a higher serum level.
Promethazine,Sodium bicarbonate,Promethazine can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Salicylic acid,Dexketoprofen,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Dexketoprofen.
Hydrocortisone,Nalidixic acid,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Nalidixic acid.
Bromfenac,Cortisone acetate,The risk or severity of adverse effects can be increased when Bromfenac is combined with Cortisone acetate.
Salicylic acid,Fenbufen,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Fenbufen.
Naproxen,Fluticasone propionate,The risk or severity of adverse effects can be increased when Naproxen is combined with Fluticasone propionate.
Diclofenac,Fluticasone propionate,The risk or severity of adverse effects can be increased when Diclofenac is combined with Fluticasone propionate.
Gabapentin,Fluticasone propionate,The risk or severity of adverse effects can be increased when Gabapentin is combined with Fluticasone propionate.
Butobarbital,Fluticasone propionate,The risk or severity of adverse effects can be increased when Butobarbital is combined with Fluticasone propionate.
Magnesium hydroxide,Fluocinolone acetonide,The bioavailability of Fluocinolone acetonide can be decreased when combined with Magnesium hydroxide.
Colchicine,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Colchicine.
Nintedanib,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Nintedanib.
Salicylic acid,Zaltoprofen,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Zaltoprofen.
Minoxidil,Bimatoprost,Minoxidil may increase the hypotensive activities of Bimatoprost.
Salicylic acid,Quinethazone,The therapeutic efficacy of Quinethazone can be decreased when used in combination with Salicylic acid.
Cyclophosphamide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Cyclophosphamide.
Avanafil,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Avanafil.
Dextropropoxyphene,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dextropropoxyphene.
Benzyl alcohol,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Benzyl alcohol.
Tiotropium,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Tiotropium.
Dorzolamide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dorzolamide.
Imidafenacin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Imidafenacin.
Ivacaftor,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Ivacaftor.
Esomeprazole,Doxycycline,The metabolism of Doxycycline can be decreased when combined with Esomeprazole.
Acetaminophen,Dronedarone,The metabolism of Dronedarone can be decreased when combined with Acetaminophen.
Fluticasone propionate,Atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Fluticasone propionate.
Fluticasone propionate,Olaparib,The metabolism of Olaparib can be decreased when combined with Fluticasone propionate.
Cinnarizine,Nicotine,The metabolism of Nicotine can be decreased when combined with Cinnarizine.
Loratadine,Diltiazem,The metabolism of Diltiazem can be decreased when combined with Loratadine.
Lidocaine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Lidocaine.
Nicotine,Indinavir,The metabolism of Indinavir can be decreased when combined with Nicotine.
Nicotine,Dihydroergotamine,The metabolism of Dihydroergotamine can be decreased when combined with Nicotine.
Nicotine,Fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Nicotine.
Lidocaine,Stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Lidocaine.
Nicotine,Stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Nicotine.
Nicotine,Fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Nicotine.
Ibuprofen,Ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Ibuprofen.
Aliskiren,Salicylic acid,Aliskiren may decrease the antihypertensive activities of Salicylic acid.
Tobramycin,Ibuprofen,Tobramycin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Amikacin,Ibuprofen,Amikacin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Nebivolol,Ibuprofen,Nebivolol may decrease the antihypertensive activities of Ibuprofen.
Spirapril,Ibuprofen,The risk or severity of adverse effects can be increased when Spirapril is combined with Ibuprofen.
Salicylic acid,Ketoprofen,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Ketoprofen.
Loratadine,Valsartan,The metabolism of Valsartan can be decreased when combined with Loratadine.
Caffeine,Thioridazine,The metabolism of Thioridazine can be decreased when combined with Caffeine.
Caffeine,Bupropion,The metabolism of Bupropion can be decreased when combined with Caffeine.
Acetaminophen,Bupropion,The metabolism of Bupropion can be decreased when combined with Acetaminophen.
Caffeine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Caffeine.
Nicotine,Cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Nicotine.
Timolol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Timolol.
Doxorubicin,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Doxorubicin.
Carvedilol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Carvedilol.
Ibuprofen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ibuprofen.
Zidovudine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Zidovudine.
Zalcitabine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Zalcitabine.
Brivaracetam,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Brivaracetam.
Ibuprofen,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Ibuprofen.
Minoxidil,Phenoxybenzamine,Minoxidil may increase the hypotensive activities of Phenoxybenzamine.
Benzocaine,Tolcapone,The risk or severity of adverse effects can be increased when Benzocaine is combined with Tolcapone.
Clozapine,Nitroglycerin,The risk or severity of adverse effects can be increased when Clozapine is combined with Nitroglycerin.
Chlorpromazine,Nitroglycerin,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Nitroglycerin.
Nitroglycerin,Isosorbide mononitrate,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Isosorbide mononitrate.
Nitroglycerin,Clevidipine,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Clevidipine.
Nitroglycerin,Diclofenamide,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Diclofenamide.
Metoprolol,Minoxidil,The risk or severity of adverse effects can be increased when Metoprolol is combined with Minoxidil.
Losartan,Tolnaftate,The metabolism of Tolnaftate can be decreased when combined with Losartan.
Loratadine,Tasimelteon,The risk or severity of adverse effects can be increased when Loratadine is combined with Tasimelteon.
Benzocaine,Ethyl loflazepate,The risk or severity of adverse effects can be increased when Benzocaine is combined with Ethyl loflazepate.
Loratadine,Clonazepam,The risk or severity of adverse effects can be increased when Loratadine is combined with Clonazepam.
Olanzapine,Benzocaine,The risk or severity of adverse effects can be increased when Olanzapine is combined with Benzocaine.
Valproic acid,Benzocaine,The risk or severity of adverse effects can be increased when Valproic acid is combined with Benzocaine.
Quetiapine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Quetiapine is combined with Dimenhydrinate.
Lisdexamfetamine,Dimenhydrinate,Lisdexamfetamine may decrease the sedative activities of Dimenhydrinate.
Pregabalin,Dimenhydrinate,The therapeutic efficacy of Dimenhydrinate can be increased when used in combination with Pregabalin.
Mepivacaine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Mepivacaine is combined with Dimenhydrinate.
Sulpiride,Loratadine,The risk or severity of adverse effects can be increased when Sulpiride is combined with Loratadine.
Nicergoline,Loratadine,The risk or severity of adverse effects can be increased when Nicergoline is combined with Loratadine.
Lithium cation,Loratadine,The risk or severity of adverse effects can be increased when Lithium cation is combined with Loratadine.
Triflupromazine,Loratadine,The risk or severity of adverse effects can be increased when Triflupromazine is combined with Loratadine.
Dapiprazole,Loratadine,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Loratadine.
Enzalutamide,Lidocaine,The serum concentration of Lidocaine can be decreased when it is combined with Enzalutamide.
Pimozide,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Pimozide.
Bupivacaine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Bupivacaine.
Lorazepam,Lidocaine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Lidocaine.
Bromazepam,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Bromazepam.
Tolnaftate,Pinaverium,The risk or severity of adverse effects can be increased when Tolnaftate is combined with Pinaverium.
Quinine,Caffeine,The metabolism of Caffeine can be decreased when combined with Quinine.
Pitavastatin,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Pitavastatin.
Tizanidine,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Tizanidine.
Bromazepam,Caffeine,The metabolism of Caffeine can be decreased when combined with Bromazepam.
